,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,original_language,prod1,country,budget,runtime,rating,lead_actor,lead_actress,director1
15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Universal Pictures,FR,52000000,178.0,3.7955110396256764,Robert De Niro,Sharon Stone,Martin Scorsese
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Columbia Pictures Corporation,GB,16500000,136.0,3.9522270706405402,Hugh Grant,Kate Winslet,Ang Lee
17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax Films,US,4000000,98.0,3.409031198686371,Tim Roth,Jennifer Beals,Allison Anders
18,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,O Entertainment,US,30000000,90.0,2.633983148851809,Jim Carrey,Sophie Okonedo,Steve Oedekerk
19,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Columbia Pictures,US,60000000,103.0,2.894070547500541,Wesley Snipes,Jennifer Lopez,Joseph Ruben
20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Jersey Films,US,30250000,105.0,3.572137060414788,John Travolta,Rene Russo,Barry Sonnenfeld
21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Regency Enterprises,US,0,124.0,3.3006076546345002,Will Patton,Sigourney Weaver,Jon Amiel
22,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Silver Pictures,FR,50000000,132.0,3.157631359466222,Sylvester Stallone,Julianne Moore,Richard Donner
23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,en,Caravan Pictures,US,0,111.0,3.1803745482422516,Sean Patrick Flanery,Mary Steenburgen,Victor Salva
24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,United Artists,US,3600000,112.0,3.6675128965433204,Nicolas Cage,Elisabeth Shue,Mike Figgis
25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Columbia Pictures,IT,0,123.0,3.614058355437666,Laurence Fishburne,Irène Jacob,Oliver Parker
26,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,en,New Line Cinema,US,12000000,100.0,3.424864864864865,Walter Sparrow,Christina Ricci,Lesli Linka Glatter
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,BBC Films,GB,0,104.0,4.039876397881106,Ciarán Hinds,Amanda Root,Roger Michell
28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,fr,Procirep,FR,18000000,108.0,3.920885116702031,Ron Perlman,Geneviève Brunet,Jean-Pierre Jeunet
29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,zh,Ministère des Affaires Étrangères,CN,0,108.0,3.63690036900369,,Gong Li,Zhang Yimou
30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Hollywood Pictures,US,0,99.0,3.238314143323595,George Dzundza,Michelle Pfeiffer,John N. Smith
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,en,Universal Pictures,US,29500000,129.0,3.888769242293719,Bruce Willis,Madeleine Stowe,Terry Gilliam
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fr,Iwerks Entertainment,FR,0,50.0,3.0555555555555554,Craig Sheffer,Elizabeth McGovern,Jean-Jacques Annaud
33,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,en,Universal Pictures,AU,30000000,89.0,3.6205942448493103,Danny Mann,Christine Cavanaugh,Chris Noonan
34,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,en,StudioCanal,FR,0,121.0,3.5015964240102173,Jonathan Pryce,Emma Thompson,Christopher Hampton
35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Havoc,US,11000000,122.0,3.9315818281335524,Sean Penn,Susan Sarandon,Tim Robbins
36,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,en,Sony New Technologies,US,0,51.0,2.938888888888889,Matt Malloy,,Stephen Low
37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,en,Dualstar Productions,US,0,101.0,2.8874269005847952,Steve Guttenberg,Kirstie Alley,Andy Tennant
38,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Paramount Pictures,US,12000000,97.0,3.4133602956558122,Paul Rudd,Stacey Dash,Amy Heckerling
39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax,ZA,0,106.0,3.6509533898305087,Charles S. Dutton,Jennifer Steyn,Darrell James Roodt
40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,en,British Screen,GB,0,104.0,3.850029579964504,Ian McKellen,Annette Bening,Richard Loncraine
41,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,en,Caravan Pictures,US,10000000,119.0,3.0489067894131185,Larenz Tate,Rose Jackson,Albert Hughes
42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Miramax Films,US,19000000,117.0,3.4679969879518073,Robert Downey Jr.,Meg Ryan,Michael Hoffman
43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,New Line Cinema,US,18000000,101.0,2.6292445482866045,Christopher Lambert,Talisa Soto,Paul W.S. Anderson
44,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,en,The Rank Organisation,US,20000000,106.0,3.372715946843854,Matt Dillon,Nicole Kidman,Gus Van Sant
45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Universal Pictures,US,10000000,116.0,3.2690225563909774,Dermot Mulroney,Winona Ryder,Jocelyn Moorhouse
46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,en,New Line Cinema,US,33000000,127.0,4.068128299593604,Brad Pitt,Gwyneth Paltrow,David Fincher
47,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Walt Disney Pictures,US,55000000,81.0,2.9566557624559637,Mel Gibson,Irene Bedard,Mike Gabriel
48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Alliance Communications Corporation,CA,0,96.0,3.564885496183206,Henry Czerny,Rachael Crawford,Patricia Rozema
49,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Blue Parrot Productions,US,6000000,106.0,4.300188962561792,Stephen Baldwin,Suzy Amis,Bryan Singer
50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,,,0,93.0,2.588235294117647,Marshall R. Teague,Cynthia Rothrock,Richard W. Munchkin
51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Miramax Films,US,15000000,95.0,3.5355968272393112,Woody Allen,Mira Sorvino,Woody Allen
52,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,it,,IT,0,116.0,3.70125786163522,Enrico Lo Verso,,Gianni Amelio
53,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Walt Disney Pictures,US,0,100.0,2.8533333333333335,Steve Guttenberg,Olivia d'Abo,Holly Goldberg Sloan
54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax Films,FR,0,115.0,3.225922131147541,Ted Levine,Jennifer Jason Leigh,Ulu Grosbard
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Telefilm Canada,,0,89.0,2.0602409638554215,Johnny Morina,Maggie Castle,Robert Tinnell
56,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Paramount Pictures,US,0,103.0,3.3225677830940987,Robert Downey Jr.,Holly Hunter,Jodie Foster
57,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,it,,BE,0,108.0,3.965010863864539,Philippe Noiret,Maria Grazia Cucinotta,Michael Radford
58,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,fr,,CA,0,100.0,3.600985221674877,Lothaire Bluteau,Kristin Scott Thomas,Robert Lepage
59,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,en,Paramount Pictures,US,45000000,96.0,3.0723876628556237,Hal Scardino,Lindsay Crouse,Frank Oz
60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Paramount Pictures,US,20000000,101.0,3.3378158109209455,Kiefer Sutherland,Sally Field,John Schlesinger
61,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,en,Hollywood Pictures,US,0,137.0,3.750324282255275,Richard Dreyfuss,Glenne Headly,Stephen Herek
62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax Films,US,0,89.0,3.114120283899888,Shawn Wayans,Tracey Cherelle Jones,Paris Barclay
63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Warner Bros.,US,0,96.0,2.8375228519195614,Denis Leary,Sandra Bullock,Bill Bennett
64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Metro-Goldwyn-Mayer (MGM),US,15000000,88.0,2.4033402561439945,Pauly Shore,Joey Lauren Adams,Jason Bloom
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,New Line Cinema,US,0,92.0,2.159487776484284,Patrick Bergin,Ely Pouget,Farhad Mann
66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax Films,US,0,85.0,3.352272727272727,Al Pacino,Mary Elizabeth Mastrantonio,James Foley
67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,fr,Renn Productions,FR,0,95.0,3.4558599695586,Alain Chabat,Victoria Abril,Josiane Balasko
68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,New Line Cinema,US,3500000,91.0,3.5509585289514867,Ice Cube,Nia Long,F. Gary Gray
69,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,en,A Band Apart,US,19000000,108.0,3.3079605263157896,George Clooney,Juliette Lewis,Robert Rodriguez
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,en,Silver Pictures,US,50000000,91.0,2.354518736223365,William Baldwin,Cindy Crawford,Andrew Sipes
71,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Castleberg Productions,US,0,96.0,3.481254781943382,Josh Hamilton,Olivia d'Abo,Noah Baumbach
72,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,fr,Les Films 13,FR,0,175.0,3.794658493870403,Jean-Paul Belmondo,Alessandra Martines,Claude Lelouch
73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,New Line Cinema,US,0,87.0,3.2990041928721174,Christian Slater,Mary Stuart Masterson,Michael Goldenberg
74,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Warner Bros.,US,15000000,90.0,2.459731543624161,Rick Moranis,Julianne Phillips,Steve Miner
75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,en,The Movie Network (TMN),CA,20000000,108.0,3.016246953696182,Peter Weller,Jennifer Rubin,Christian Duguay
76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Zweites Deutsches Fernsehen (ZDF),DE,0,70.0,3.4383259911894273,Jackson Browne,Tina Aumont,Susanne Ofteringer
77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Miramax Films,US,0,111.0,3.1737089201877935,Jack Nicholson,Anjelica Huston,Sean Penn
78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Columbia Pictures Corporation,US,44000000,118.0,3.1614385297845375,Alec Baldwin,Demi Moore,Brian Gibson
79,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,fa,I.R.I.B. Channel 2,IR,0,85.0,3.7249163879598663,,,
80,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax Films,US,8000000,116.0,3.2703649635036496,Andy García,Fairuza Balk,Gary Fleder
81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nl,Bergen Film,NL,900000,102.0,4.010845588235294,Jan Decleir,Willeke van Ammelrooy,Marleen Gorris
82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,BET Pictures,US,0,115.0,3.6491085899513775,"Al Freeman, Jr.",Phylicia Rashād,Tim Reid
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,,0,108.0,3.3802395209580838,Jon Robin Baitz,Viveca Lindfors,Henry Jaglom
84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Playhouse International Pictures,GB,0,118.0,3.538339222614841,Mark Rylance,Kristin Scott Thomas,Philip Haas
85,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Hollywood Pictures,US,38000000,129.0,3.485175495966863,Jeff Bridges,Caroline Goodall,Ridley Scott
86,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Twentieth Century Fox Film Corporation,US,16000000,88.0,2.4075937785910337,Jason Alexander,Faye Dunaway,Ken Kwapis
87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Paramount Pictures,US,0,87.0,3.125899897154611,Chris Farley,Christine Ebersole,Penelope Spheeris
88,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Paramount Pictures,US,8169363,90.0,3.1365479293368086,Johnny Depp,Courtney Chase,John Badham
89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Miramax Films,US,0,91.0,3.34,Jason Patric,Thandie Newton,John Duigan
90,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,en,TriStar Pictures,US,47000000,104.0,2.8513071895424837,John Malkovich,Julia Roberts,Stephen Frears
91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,en,Paramount Pictures,US,14000000,100.0,2.5143584993052337,Eddie Murphy,Angela Bassett,Wes Craven
92,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Miramax Films,US,0,112.0,3.5320542279411766,Matt Dillon,Annabeth Gish,Ted Demme
93,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Twentieth Century Fox Film Corporation,US,50000000,108.0,3.1123652554288395,John Travolta,Samantha Mathis,John Woo
94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Castle Rock Entertainment,GB,0,99.0,3.6888454011741683,Richard Briers,Joan Collins,Kenneth Branagh
95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,fr,Egg Pictures,FR,3000000,98.0,3.984981684981685,Vincent Cassel,Karin Viard,Mathieu Kassovitz
96,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,en,Channel Four Films,GB,0,105.0,2.6277777777777778,Jude Law,Sadie Frost,Paul W.S. Anderson
97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,British Broadcasting Corporation (BBC),GB,0,106.0,3.1183006535947713,Nick Broomfield,Corinne Bohrer,Nick Broomfield
98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Columbia Pictures,US,0,111.0,3.232303877366997,Al Pacino,Bridget Fonda,Harold Becker
99,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Gracie Films,US,7000000,91.0,3.7760838000414854,Luke Wilson,Lumi Cavazos,Wes Anderson
100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Touchstone Pictures,US,0,96.0,2.440532825880114,Bill Pullman,Ellen DeGeneres,Nick Castle
101,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,en,Metro-Goldwyn-Mayer (MGM),US,18000000,106.0,3.2730290456431534,Ray Liotta,Linda Fiorentino,John Dahl
102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Universal Pictures,US,12000000,92.0,3.396511627906977,Adam Sandler,Julie Bowen,Dennis Dugan
103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Amblin Entertainment,US,24000000,135.0,3.3279824718297264,Clint Eastwood,Meryl Streep,Clint Eastwood
104,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,de,,DE,0,104.0,3.402877697841727,Joachim Król,Maria Schrader,Doris Dörrie
105,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,en,Walt Disney Pictures,US,0,100.0,3.1958545364279507,Tim Curry,Jennifer Saunders,Brian Henson
106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,,0,95.0,3.036764705882353,Giorgio Armani,Sandra Bernhard,Robert Leacock
107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,,0,110.0,2.3333333333333335,Raymond J. Barry,April Grace,James Bruce
108,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,en,Icon Entertainment International,US,72000000,177.0,4.016057252826558,Mel Gibson,Sophie Marceau,Mel Gibson
109,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Columbia Pictures Corporation,US,1300000,114.0,4.0893090376222485,Robert De Niro,Cybill Shepherd,Martin Scorsese
110,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,cn,New Line Cinema,HK,7500000,91.0,3.4000675472830983,Jackie Chan,Françoise Yip,Stanley Tong
111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Caravan Pictures,US,35000000,108.0,3.1243478260869564,Liam Neeson,Meryl Streep,Barbet Schroeder
112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Téléfilm Canada,CA,0,114.0,3.622047244094488,Clive Russell,Helena Bonham Carter,Mort Ransen
113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,France 2 Cinéma,FR,13365000,106.0,3.38,Michel Serrault,Carmen Maura,Étienne Chatiliez
114,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,en,,GB,0,117.0,3.9205967276227143,Kenneth Branagh,Glenn Close,Jon Blair
115,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Bavaria Film and Television Fund,DE,0,99.0,3.5903890160183067,Roger Lloyd Pack,Ruth Sheen,Benjamin Ross
116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,TriStar Pictures,US,0,92.0,3.008510638297872,Eric Schaeffer,Sarah Jessica Parker,Eric Schaeffer
117,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Savoy Pictures,US,25000000,113.0,2.804428044280443,Andy García,Rachel Ticotin,Andrew Davis
118,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,en,TriStar Pictures,US,0,100.0,2.8825301204819276,Jim Belushi,Halle Berry,Charles T. Kanganis
119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,CA,0,90.0,3.738927738927739,Henry Czerny,,John N. Smith
120,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Paramount Pictures,US,40000000,117.0,2.8624662907575384,Eddie Murphy,Robin Givens,Reginald Hudlin
121,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,cn,Jet Tone Production,HK,0,102.0,3.9857716161984675,Tony Leung Chiu-Wai,Brigitte Lin,Wong Kar-wai
122,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,it,Cecchi Gori Group Tiger Cinematografica,IT,0,113.0,3.4882005899705013,Sergio Castellitto,Tiziana Lodato,Giuseppe Tornatore
123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Miramax Films,US,7000000,92.0,3.741662110442865,Ben Stiller,Patricia Arquette,David O. Russell
124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,Studio Babelsberg,DE,17000000,95.0,2.3470124753775443,Jason James Richter,Melody Kay,Peter MacDonald
125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ar,Canal Horizons,TN,0,116.0,3.215686274509804,,Hend Sabry,Moufida Tlatli
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,,0,87.0,3.475,,,
127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,,,0,95.0,3.17,Josh Charles,Anne Heche,Bryan Gordon
128,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,US,0,99.0,3.125,John Ventimiglia,Anna Levine,Rebecca Miller
129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,it,Fine Line Features,GB,0,101.0,3.3055555555555554,Matt Dillon,Anne Parillaud,Michael Lindsay-Hogg
130,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,en,Paramount Pictures,US,50000000,95.0,2.7673784643343935,David Caruso,Linda Fiorentino,William Friedkin
131,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,es,Cigua Films,DO,0,102.0,2.5,Alfonso Zayas,,Ángel Muñiz
132,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,en,,US,0,87.0,3.635135135135135,Casey Kasem,,Craig Baldwin
133,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Twentieth Century Fox Film Corporation,US,0,92.0,2.9976544175136826,Kelsey Grammer,Lauren Holly,David S. Ward
134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Couch Potatoe Productions,US,0,97.0,3.564814814814815,,Jean Seberg,Mark Rappaport
135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,US,0,86.0,3.3016528925619837,Dirk Shafer,Mary Stein,Dirk Shafer
136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,Channel Four Films,GB,0,91.0,3.2804054054054053,Jacob Tierney,Gena Rowlands,Terence Davies
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,,0,122.0,3.1041666666666665,,,
138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Cinergi Pictures Entertainment,US,60000000,119.0,3.3099591691816084,Robert Redford,Michelle Pfeiffer,Jon Avnet
139,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,en,United Artists,US,31000000,117.0,3.5228261714196907,Robin Williams,Dianne Wiest,Mike Nichols
140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,en,,HR,0,125.0,2.2,Martin Sheen,Morgan Fairchild,Jakov Sedlar
141,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,Fox Searchlight Pictures,US,0,98.0,3.4658871486805407,Edward Burns,Shari Albert,Edward Burns
142,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,Columbia Pictures,US,19000000,118.0,3.2701955495616994,Will Smith,Téa Leoni,Michael Bay
143,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,en,Warner Bros.,US,0,81.0,2.8983870967741936,Stephen Lang,Isabella Hofmann,Christopher Cain
